year,country,country_id,artist,song,language,final_place,final_points,final_points_tele,final_points_jury,final_running,which_semifinal,semifinal_place,semifinal_points,semifinal_points_tele,semifinal_points_jury,semifinal_running
1958,Germany,de,Margot Hielscher,Für zwei Groschen Musik,German,7,5,,,8.0,No Semifinal,,,,,
1958,Italy,it,Domenico Modugno,Nel blu dipinto di blu,Italian,3,13,,,1.0,No Semifinal,,,,,
1958,Luxembourg,lu,Solange Berry,Un grand amour,French,9,1,,,4.0,No Semifinal,,,,,
1958,Netherlands,nl,Corry Brokken,Heel de wereld,Dutch,9,1,,,2.0,No Semifinal,,,,,
1958,Sweden,se,Alice Babs,Lilla stjärna,Swedish,4,10,,,5.0,No Semifinal,,,,,
1958,Switzerland,ch,Lys Assia,Giorgio,"German, Italian",2,24,,,10.0,No Semifinal,,,,,
1959,Austria,at,Ferry Graf,Der K und K Kalypso aus Wien,German,9,4,,,9.0,No Semifinal,,,,,
1959,Belgium,be,Bob Benny,Hou toch van mij,Dutch,6,9,,,11.0,No Semifinal,,,,,
1959,Denmark,dk,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",Danish,5,12,,,2.0,No Semifinal,,,,,
1959,France,fr,Jean Philippe,"Oui, oui, oui, oui",French,3,15,,,1.0,No Semifinal,,,,,
1959,Germany,de,Alice & Ellen Kessler,Heute Abend wollen wir tanzen geh'n,German,8,5,,,6.0,No Semifinal,,,,,
1959,Italy,it,Domenico Modugno,"Piove (Ciao, ciao bambina)",Italian,6,9,,,3.0,No Semifinal,,,,,
1959,Monaco,mc,Jacques Pills,Mon ami Pierrot,French,11,1,,,4.0,No Semifinal,,,,,
1959,Netherlands,nl,Teddy Scholten,Een beetje,Dutch,1,21,,,5.0,No Semifinal,,,,,
1959,Sweden,se,Brita Borg,Augustin,Swedish,9,4,,,7.0,No Semifinal,,,,,
1959,Switzerland,ch,Christa Williams,Irgendwoher,German,4,14,,,8.0,No Semifinal,,,,,
1959,United Kingdom,gb,Pearl Carr & Teddy Johnson,"Sing, Little Birdie",English,2,16,,,10.0,No Semifinal,,,,,
1960,Austria,at,Harry Winter,Du hast mich so fasziniert,German,7,6,,,7.0,No Semifinal,,,,,
1960,Belgium,be,Fud Leclerc,Mon amour pour toi,French,6,9,,,5.0,No Semifinal,,,,,
1960,Denmark,dk,Katy Bødtger,Det var en yndig tid,Danish,10,4,,,4.0,No Semifinal,,,,,
1960,France,fr,Jacqueline Boyer,Tom Pillibi,French,1,32,,,13.0,No Semifinal,,,,,
1960,Germany,de,Wyn Hoop,Bonne nuit ma chérie,German,4,11,,,11.0,No Semifinal,,,,,
1960,Italy,it,Renato Rascel,Romantica,Italian,8,5,,,12.0,No Semifinal,,,,,
1960,Luxembourg,lu,Camillo Felgen,So laang we's du do bast,Luxembourgish,13,1,,,3.0,No Semifinal,,,,,
1960,Monaco,mc,François Deguelt,Ce soir-là,French,3,15,,,8.0,No Semifinal,,,,,
1960,Netherlands,nl,Rudi Carrell,Wat een geluk,Dutch,12,2,,,10.0,No Semifinal,,,,,
1960,Norway,no,Nora Brockstedt,Voi Voi,Norwegian,4,11,,,6.0,No Semifinal,,,,,
1960,Sweden,se,Siw Malmkvist,Alla andra får varann,Swedish,10,4,,,2.0,No Semifinal,,,,,
1960,Switzerland,ch,Anita Traversi,Cielo e terra,Italian,8,5,,,9.0,No Semifinal,,,,,
1960,United Kingdom,gb,Bryan Johnson,"Looking High, High, High",English,2,25,,,1.0,No Semifinal,,,,,
1961,Austria,at,Jimmy Makulis,Sehnsucht,German,15,1,,,3.0,No Semifinal,,,,,
1961,Belgium,be,Bob Benny,"September, gouden roos",Dutch,15,1,,,11.0,No Semifinal,,,,,
1961,Denmark,dk,Dario Campeotto,Angelique,Danish,5,12,,,13.0,No Semifinal,,,,,
1961,Finland,fi,Laila Kinnunen,Valoa ikkunassa,Finnish,10,6,,,4.0,No Semifinal,,,,,
1961,France,fr,Jean-Paul Mauric,"Printemps, avril carillonne",French,4,13,,,9.0,No Semifinal,,,,,
1961,Germany,de,Lale Andersen,Einmal sehen wir uns wieder,"German, French",13,3,,,8.0,No Semifinal,,,,,
1961,Italy,it,Betty Curtis,Al di là,Italian,5,12,,,16.0,No Semifinal,,,,,
1961,Luxembourg,lu,Jean-Claude Pascal,Nous les amoureux,French,1,31,,,14.0,No Semifinal,,,,,
1961,Monaco,mc,Colette Deréal,"Allons, allons les enfants",French,10,6,,,2.0,No Semifinal,,,,,
1961,Netherlands,nl,Greetje Kauffeld,Wat een dag,Dutch,10,6,,,6.0,No Semifinal,,,,,
1961,Norway,no,Nora Brockstedt,Sommer i Palma,Norwegian,7,10,,,12.0,No Semifinal,,,,,
1961,Spain,es,Conchita Bautista,Estando contigo,Spanish,9,8,,,1.0,No Semifinal,,,,,
1961,Sweden,se,Lill-Babs,"April, april",Swedish,14,2,,,7.0,No Semifinal,,,,,
1961,Switzerland,ch,Franca di Rienzo,Nous aurons demain,French,3,16,,,10.0,No Semifinal,,,,,
1961,United Kingdom,gb,The Allisons,Are You Sure?,English,2,24,,,15.0,No Semifinal,,,,,
1961,Yugoslavia,yu,Ljiljana Petrović,Neke davne zvezde (Неке давне звезде),Serbo-Croatian,8,9,,,5.0,No Semifinal,,,,,
1962,Austria,at,Eleonore Schwarz,Nur in der Wiener Luft,German,13,0,,,4.0,No Semifinal,,,,,
1962,Belgium,be,Fud Leclerc,Ton nom,French,13,0,,,2.0,No Semifinal,,,,,
1962,Denmark,dk,Ellen Winther,Vuggevise,Danish,10,2,,,5.0,No Semifinal,,,,,
1962,Finland,fi,Marion Rung,Tipi-tii,Finnish,7,4,,,1.0,No Semifinal,,,,,
1962,France,fr,Isabelle Aubret,Un premier amour,French,1,26,,,9.0,No Semifinal,,,,,
1962,Germany,de,Conny Froboess,Zwei kleine Italiener,German,6,9,,,7.0,No Semifinal,,,,,
1962,Italy,it,Claudio Villa,"Addio, addio",Italian,9,3,,,15.0,No Semifinal,,,,,
1962,Luxembourg,lu,Camillo Felgen,Petit bonhomme,French,3,11,,,14.0,No Semifinal,,,,,
1962,Monaco,mc,François Deguelt,Dis rien,French,2,13,,,16.0,No Semifinal,,,,,
1962,Netherlands,nl,De Spelbrekers,Katinka,Dutch,13,0,,,8.0,No Semifinal,,,,,
1962,Norway,no,Inger Jacobsen,"Kom sol, kom regn",Norwegian,10,2,,,10.0,No Semifinal,,,,,
1962,Spain,es,Victor Balaguer,Llámame,Spanish,13,0,,,3.0,No Semifinal,,,,,
1962,Sweden,se,Inger Berggren,Sol och vår,Swedish,7,4,,,6.0,No Semifinal,,,,,
1962,Switzerland,ch,Jean Philippe,Le retour,French,10,2,,,11.0,No Semifinal,,,,,
1962,United Kingdom,gb,Ronnie Carroll,Ring-A-Ding Girl,English,4,10,,,13.0,No Semifinal,,,,,
1962,Yugoslavia,yu,Lola Novaković,Ne pali svetla u sumrak (Не пали светла у сумрак),Serbo-Croatian,4,10,,,12.0,No Semifinal,,,,,
1963,Austria,at,Carmela Corren,Vielleicht geschieht ein Wunder,"German, English",7,16,,,4.0,No Semifinal,,,,,
1963,Belgium,be,Jacques Raymond,Waarom?,Dutch,10,4,,,14.0,No Semifinal,,,,,
1963,Denmark,dk,Grethe & Jørgen Ingmann,Dansevise,Danish,1,42,,,8.0,No Semifinal,,,,,
1963,Finland,fi,Laila Halme,Muistojeni laulu,Finnish,13,0,,,7.0,No Semifinal,,,,,
1963,France,fr,Alain Barrière,Elle était si jolie,French,5,25,,,11.0,No Semifinal,,,,,
1963,Germany,de,Heidi Brühl,Marcel,German,9,5,,,3.0,No Semifinal,,,,,
1963,Italy,it,Emilio Pericoli,Uno per tutte,Italian,3,37,,,6.0,No Semifinal,,,,,
1963,Luxembourg,lu,Nana Mouskouri,À force de prier,French,8,13,,,16.0,No Semifinal,,,,,
1963,Monaco,mc,Françoise Hardy,L'amour s'en va,French,5,25,,,15.0,No Semifinal,,,,,
1963,Netherlands,nl,Annie Palmen,Een speeldoos,Dutch,13,0,,,2.0,No Semifinal,,,,,
1963,Norway,no,Anita Thallaug,Solhverv,Norwegian,13,0,,,5.0,No Semifinal,,,,,
1963,Spain,es,José Guardiola,Algo prodigioso,Spanish,12,2,,,12.0,No Semifinal,,,,,
1963,Sweden,se,Monica Zetterlund,En gång i Stockholm,Swedish,13,0,,,13.0,No Semifinal,,,,,
1963,Switzerland,ch,Esther Ofarim,T'en va pas,French,2,40,,,10.0,No Semifinal,,,,,
1963,United Kingdom,gb,Ronnie Carroll,Say Wonderful Things,English,4,28,,,1.0,No Semifinal,,,,,
1963,Yugoslavia,yu,Vice Vukov,Brodovi,Serbo-Croatian,11,3,,,9.0,No Semifinal,,,,,
1964,Austria,at,Udo Jürgens,"Warum nur, warum?",German,6,11,,,6.0,No Semifinal,,,,,
1964,Belgium,be,Robert Cogoi,Près de ma rivière,French,10,2,,,15.0,No Semifinal,,,,,
1964,Denmark,dk,Bjørn Tidmand,Sangen om dig,Danish,9,4,,,4.0,No Semifinal,,,,,
1964,Finland,fi,Lasse Mårtenson,Laiskotellen,Finnish,7,9,,,5.0,No Semifinal,,,,,
1964,France,fr,Rachel,Le chant de Mallory,French,4,14,,,7.0,No Semifinal,,,,,
1964,Germany,de,Nora Nova,Man gewöhnt sich so schnell an das Schöne,German,13,0,,,9.0,No Semifinal,,,,,
1964,Italy,it,Gigliola Cinquetti,Non ho l'età,Italian,1,49,,,12.0,No Semifinal,,,,,
1964,Luxembourg,lu,Hugues Aufray,Dès que le printemps revient,French,4,14,,,1.0,No Semifinal,,,,,
1964,Monaco,mc,Romuald,Où sont-elles passées,French,3,15,,,10.0,No Semifinal,,,,,
1964,Netherlands,nl,Anneke Grönloh,Jij bent mijn leven,Dutch,10,2,,,2.0,No Semifinal,,,,,
1964,Norway,no,Arne Bendiksen,Spiral,Norwegian,8,6,,,3.0,No Semifinal,,,,,
1964,Portugal,pt,António Calvário,Oração,Portuguese,13,0,,,11.0,No Semifinal,,,,,
1964,Spain,es,Los TNT,Caracola,Spanish,12,1,,,16.0,No Semifinal,,,,,
1964,Switzerland,ch,Anita Traversi,I miei pensieri,Italian,13,0,,,14.0,No Semifinal,,,,,
1964,United Kingdom,gb,Matt Monro,I Love the Little Things,English,2,17,,,8.0,No Semifinal,,,,,
1964,Yugoslavia,yu,Sabahudin Kurt,Život je sklopio krug,Serbo-Croatian,13,0,,,13.0,No Semifinal,,,,,
1965,Austria,at,Udo Jürgens,"Sag ihr, ich lass sie grüßen",German,4,16,,,6.0,No Semifinal,,,,,
1965,Belgium,be,Lize Marke,Als het weer lente is,Dutch,15,0,,,8.0,No Semifinal,,,,,
1965,Denmark,dk,Birgit Brüel,For din skyld,Danish,7,10,,,14.0,No Semifinal,,,,,
1965,Finland,fi,Viktor Klimenko,Aurinko laskee länteen,Finnish,15,0,,,16.0,No Semifinal,,,,,
1965,France,fr,Guy Mardel,N'avoue jamais,French,3,22,,,11.0,No Semifinal,,,,,
1965,Germany,de,Ulla Wiesner,"Paradies, wo bist du?",German,15,0,,,5.0,No Semifinal,,,,,
1965,Ireland,ie,Butch Moore,Walking the Streets in the Rain,English,6,11,,,4.0,No Semifinal,,,,,
1965,Italy,it,Bobby Solo,"Se piangi, se ridi",Italian,5,15,,,13.0,No Semifinal,,,,,
1965,Luxembourg,lu,France Gall,"Poupée de cire, poupée de son",French,1,32,,,15.0,No Semifinal,,,,,
1965,Monaco,mc,Marjorie Noël,Va dire à l'amour,French,9,7,,,9.0,No Semifinal,,,,,
1965,Netherlands,nl,Conny van den Bos,Het is genoeg,Dutch,11,5,,,1.0,No Semifinal,,,,,
1965,Norway,no,Kirsti Sparboe,Karusell,Norwegian,13,1,,,7.0,No Semifinal,,,,,
1965,Portugal,pt,Simone de Oliveira,Sol de inverno,Portuguese,13,1,,,12.0,No Semifinal,,,,,
1965,Spain,es,Conchita Bautista,"¡Qué bueno, qué bueno!",Spanish,15,0,,,3.0,No Semifinal,,,,,
1965,Sweden,se,Ingvar Wixell,Absent Friend,English,10,6,,,10.0,No Semifinal,,,,,
1965,Switzerland,ch,Yovanna,"Non, à jamais sans toi",French,8,8,,,18.0,No Semifinal,,,,,
1965,United Kingdom,gb,Kathy Kirby,I Belong,English,2,26,,,2.0,No Semifinal,,,,,
1965,Yugoslavia,yu,Vice Vukov,Čežnja,Serbo-Croatian,12,2,,,17.0,No Semifinal,,,,,
1966,Austria,at,Udo Jürgens,"Merci, Chérie",German,1,31,,,9.0,No Semifinal,,,,,
1966,Belgium,be,Tonia,"Un peu de poivre, un peu de sel",French,4,14,,,3.0,No Semifinal,,,,,
1966,Denmark,dk,Ulla Pia,Stop – mens legen er go',Danish,14,4,,,2.0,No Semifinal,,,,,
1966,Finland,fi,Ann Christine,Playboy,Finnish,10,7,,,7.0,No Semifinal,,,,,
1966,France,fr,Dominique Walter,Chez nous,French,16,1,,,15.0,No Semifinal,,,,,
1966,Germany,de,Margot Eskens,Die Zeiger der Uhr,German,10,7,,,1.0,No Semifinal,,,,,
1966,Ireland,ie,Dickie Rock,Come Back to Stay,English,4,14,,,17.0,No Semifinal,,,,,
1966,Italy,it,Domenico Modugno,"Dio, come ti amo",Italian,17,0,,,14.0,No Semifinal,,,,,
1966,Luxembourg,lu,Michèle Torr,Ce soir je t'attendais,French,10,7,,,4.0,No Semifinal,,,,,
1966,Monaco,mc,Téréza,Bien plus fort,French,17,0,,,13.0,No Semifinal,,,,,
1966,Netherlands,nl,Milly Scott,Fernando en Filippo,Dutch,15,2,,,16.0,No Semifinal,,,,,
1966,Norway,no,Åse Kleveland,Intet er nytt under solen,Norwegian,3,15,,,6.0,No Semifinal,,,,,
1966,Portugal,pt,Madalena Iglésias,Ele e ela,Portuguese,13,6,,,8.0,No Semifinal,,,,,
1966,Spain,es,Raphael,Yo soy aquél,Spanish,7,9,,,11.0,No Semifinal,,,,,
1966,Sweden,se,Lill Lindfors & Svante Thuresson,Nygammal vals,Swedish,2,16,,,10.0,No Semifinal,,,,,
1966,Switzerland,ch,Madeleine Pascal,Ne vois-tu pas?,French,6,12,,,12.0,No Semifinal,,,,,
1966,United Kingdom,gb,Kenneth McKellar,A Man Without Love,English,9,8,,,18.0,No Semifinal,,,,,
1966,Yugoslavia,yu,Berta Ambrož,Brez besed,Slovene,7,9,,,5.0,No Semifinal,,,,,
1967,Austria,at,Peter Horton,Warum es hunderttausend Sterne gibt,German,14,2,,,3.0,No Semifinal,,,,,
1967,Belgium,be,Louis Neefs,Ik heb zorgen,Dutch,7,8,,,10.0,No Semifinal,,,,,
1967,Finland,fi,Fredi,Varjoon – suojaan,Finnish,12,3,,,8.0,No Semifinal,,,,,
1967,France,fr,Noëlle Cordier,Il doit faire beau là-bas,French,3,20,,,4.0,No Semifinal,,,,,
1967,Germany,de,Inge Brück,Anouschka,German,8,7,,,9.0,No Semifinal,,,,,
1967,Ireland,ie,Sean Dunphy,If I Could Choose,English,2,22,,,17.0,No Semifinal,,,,,
1967,Italy,it,Claudio Villa,Non andare più lontano,Italian,11,4,,,16.0,No Semifinal,,,,,
1967,Luxembourg,lu,Vicky Leandros,L'amour est bleu,French,4,17,,,2.0,No Semifinal,,,,,
1967,Monaco,mc,Minouche Barelli,Boum-Badaboum,French,5,10,,,14.0,No Semifinal,,,,,
1967,Netherlands,nl,Thérèse Steinmetz,Ring-dinge-ding,Dutch,14,2,,,1.0,No Semifinal,,,,,
1967,Norway,no,Kirsti Sparboe,Dukkemann,Norwegian,14,2,,,13.0,No Semifinal,,,,,
1967,Portugal,pt,Eduardo Nascimento,O vento mudou,Portuguese,12,3,,,5.0,No Semifinal,,,,,
1967,Spain,es,Raphael,Hablemos del amor,Spanish,6,9,,,12.0,No Semifinal,,,,,
1967,Sweden,se,Östen Warnerbring,Som en dröm,Swedish,8,7,,,7.0,No Semifinal,,,,,
1967,Switzerland,ch,Géraldine,Quel cœur vas-tu briser?,French,17,0,,,6.0,No Semifinal,,,,,
1967,United Kingdom,gb,Sandie Shaw,Puppet on a String,English,1,47,,,11.0,No Semifinal,,,,,
1967,Yugoslavia,yu,Lado Leskovar,Vse rože sveta,Slovene,8,7,,,15.0,No Semifinal,,,,,
1968,Austria,at,Karel Gott,Tausend Fenster,German,13,2,,,4.0,No Semifinal,,,,,
1968,Belgium,be,Claude Lombard,Quand tu reviendras,French,7,8,,,3.0,No Semifinal,,,,,
1968,Finland,fi,Kristina Hautala,Kun kello käy,Finnish,16,1,,,9.0,No Semifinal,,,,,
1968,France,fr,Isabelle Aubret,La source,French,3,20,,,10.0,No Semifinal,,,,,
1968,Germany,de,Wenche Myhre,Ein Hoch der Liebe,German,6,11,,,16.0,No Semifinal,,,,,
1968,Ireland,ie,Pat McGuigan,Chance of a Lifetime,English,4,18,,,14.0,No Semifinal,,,,,
1968,Italy,it,Sergio Endrigo,Marianne,Italian,10,7,,,11.0,No Semifinal,,,,,
1968,Luxembourg,lu,Chris Baldo & Sophie Garel,Nous vivrons d'amour,French,11,5,,,5.0,No Semifinal,,,,,
1968,Monaco,mc,Line & Willy,À chacun sa chanson,French,7,8,,,7.0,No Semifinal,,,,,
1968,Netherlands,nl,Ronnie Tober,Morgen,Dutch,16,1,,,2.0,No Semifinal,,,,,
1968,Norway,no,Odd Børre,Stress,Norwegian,13,2,,,13.0,No Semifinal,,,,,
1968,Portugal,pt,Carlos Mendes,Verão,Portuguese,11,5,,,1.0,No Semifinal,,,,,
1968,Spain,es,Massiel,"La, la, la",Spanish,1,29,,,15.0,No Semifinal,,,,,
1968,Sweden,se,Claes-Göran Hederström,"Det börjar verka kärlek, banne mej",Swedish,5,15,,,8.0,No Semifinal,,,,,
1968,Switzerland,ch,Gianni Mascolo,Guardando il sole,Italian,13,2,,,6.0,No Semifinal,,,,,
1968,United Kingdom,gb,Cliff Richard,Congratulations,English,2,28,,,12.0,No Semifinal,,,,,
1968,Yugoslavia,yu,Dubrovački trubaduri,Jedan dan,Serbo-Croatian,7,8,,,17.0,No Semifinal,,,,,
1969,Belgium,be,Louis Neefs,Jennifer Jennings,Dutch,7,10,,,10.0,No Semifinal,,,,,
1969,Finland,fi,Jarkko & Laura,Kuin silloin ennen,Finnish,12,6,,,16.0,No Semifinal,,,,,
1969,France,fr,Frida Boccara,"Un jour, un enfant",French,1,18,,,14.0,No Semifinal,,,,,
1969,Germany,de,Siw Malmkvist,Primaballerina,German,9,8,,,13.0,No Semifinal,,,,,
1969,Ireland,ie,Muriel Day & The Lindsays,The Wages of Love,English,7,10,,,5.0,No Semifinal,,,,,
1969,Italy,it,Iva Zanicchi,Due grosse lacrime bianche,Italian,13,5,,,6.0,No Semifinal,,,,,
1969,Luxembourg,lu,Romuald,Catherine,French,11,7,,,2.0,No Semifinal,,,,,
1969,Monaco,mc,Jean Jacques,"Maman, Maman",French,6,11,,,4.0,No Semifinal,,,,,
1969,Netherlands,nl,Lenny Kuhr,De troubadour,Dutch,1,18,,,8.0,No Semifinal,,,,,
1969,Norway,no,Kirsti Sparboe,"Oj, oj, oj, så glad jeg skal bli",Norwegian,16,1,,,12.0,No Semifinal,,,,,
1969,Portugal,pt,Simone de Oliveira,Desfolhada portuguesa,Portuguese,15,4,,,15.0,No Semifinal,,,,,
1969,Spain,es,Salomé,Vivo cantando,Spanish,1,18,,,3.0,No Semifinal,,,,,
1969,Sweden,se,Tommy Körberg,"Judy, min vän",Swedish,9,8,,,9.0,No Semifinal,,,,,
1969,Switzerland,ch,Paola Del Medico,"Bonjour, Bonjour",German,5,13,,,11.0,No Semifinal,,,,,
1969,United Kingdom,gb,Lulu,Boom Bang-a-Bang,English,1,18,,,7.0,No Semifinal,,,,,
1969,Yugoslavia,yu,Ivan & 4M,Pozdrav svijetu,Serbo-Croatian,13,5,,,1.0,No Semifinal,,,,,
1970,Belgium,be,Jean Vallée,Viens l'oublier,French,8,5,,,5.0,No Semifinal,,,,,
1970,France,fr,Guy Bonnet,Marie-Blanche,French,4,8,,,6.0,No Semifinal,,,,,
1970,Germany,de,Katja Ebstein,Wunder gibt es immer wieder,German,3,12,,,11.0,No Semifinal,,,,,
1970,Ireland,ie,Dana,All Kinds of Everything,English,1,32,,,12.0,No Semifinal,,,,,
1970,Italy,it,Gianni Morandi,Occhi di ragazza,Italian,8,5,,,3.0,No Semifinal,,,,,
1970,Luxembourg,lu,David Alexandre Winter,Je suis tombé du ciel,French,12,0,,,8.0,No Semifinal,,,,,
1970,Monaco,mc,Dominique Dussault,Marlène,French,8,5,,,10.0,No Semifinal,,,,,
1970,Netherlands,nl,Hearts of Soul,Waterman,Dutch,7,7,,,1.0,No Semifinal,,,,,
1970,Spain,es,Julio Iglesias,Gwendolyne,Spanish,4,8,,,9.0,No Semifinal,,,,,
1970,Switzerland,ch,Henri Dès,Retour,French,4,8,,,2.0,No Semifinal,,,,,
1970,United Kingdom,gb,Mary Hopkin,"Knock, Knock Who's There?",English,2,26,,,7.0,No Semifinal,,,,,
1970,Yugoslavia,yu,Eva Sršen,"Pridi, dala ti bom cvet",Slovene,11,4,,,4.0,No Semifinal,,,,,
1971,Austria,at,Marianne Mendt,Musik,Viennese,16,66,,,1.0,No Semifinal,,,,,
1971,Belgium,be,Lily Castel & Jacques Raymond,"Goeiemorgen, morgen",Dutch,14,68,,,10.0,No Semifinal,,,,,
1971,Finland,fi,Markku Aro & Koivistolaiset,Tie uuteen päivään,Finnish,8,84,,,17.0,No Semifinal,,,,,
1971,France,fr,Serge Lama,Un jardin sur la terre,French,10,82,,,7.0,No Semifinal,,,,,
1971,Germany,de,Katja Ebstein,Diese Welt,German,3,100,,,5.0,No Semifinal,,,,,
1971,Ireland,ie,Angela Farrell,One Day Love,English,11,79,,,13.0,No Semifinal,,,,,
1971,Italy,it,Massimo Ranieri,L'amore è un attimo,Italian,5,91,,,11.0,No Semifinal,,,,,
1971,Luxembourg,lu,Monique Melsen,"Pomme, pomme, pomme",French,13,70,,,8.0,No Semifinal,,,,,
1971,Malta,mt,Joe Grech,Marija l-Maltija,Maltese,18,52,,,2.0,No Semifinal,,,,,
1971,Monaco,mc,Séverine,"Un banc, un arbre, une rue",French,1,128,,,3.0,No Semifinal,,,,,
1971,Netherlands,nl,Saskia & Serge,Tijd,Dutch,6,85,,,14.0,No Semifinal,,,,,
1971,Norway,no,Hanne Krogh,Lykken er,Norwegian,17,65,,,18.0,No Semifinal,,,,,
1971,Portugal,pt,Tonicha,Menina do alto da serra,Portuguese,9,83,,,15.0,No Semifinal,,,,,
1971,Spain,es,Karina,En un mundo nuevo,Spanish,2,116,,,6.0,No Semifinal,,,,,
1971,Sweden,se,Family Four,Vita vidder,Swedish,6,85,,,12.0,No Semifinal,,,,,
1971,Switzerland,ch,"Peter, Sue and Marc",Les illusions de nos vingt ans,French,12,78,,,4.0,No Semifinal,,,,,
1971,United Kingdom,gb,Clodagh Rodgers,Jack In The Box,English,4,98,,,9.0,No Semifinal,,,,,
1971,Yugoslavia,yu,Krunoslav Slabinac,Tvoj dječak je tužan,Serbo-Croatian,14,68,,,16.0,No Semifinal,,,,,
1972,Austria,at,Milestones,Falter im Wind,German,5,100,,,11.0,No Semifinal,,,,,
1972,Belgium,be,Serge & Christine Ghisoland,À la folie ou pas du tout,French,17,55,,,16.0,No Semifinal,,,,,
1972,Finland,fi,Päivi Paunu & Kim Floor,Muistathan,Finnish,12,78,,,10.0,No Semifinal,,,,,
1972,France,fr,Betty Mars,Comé-comédie,French,11,81,,,2.0,No Semifinal,,,,,
1972,Germany,de,Mary Roos,Nur die Liebe läßt uns leben,German,3,107,,,1.0,No Semifinal,,,,,
1972,Ireland,ie,Sandie Jones,Ceol an Ghrá,Irish,15,72,,,3.0,No Semifinal,,,,,
1972,Italy,it,Nicola di Bari,I giorni dell'arcobaleno,Italian,6,92,,,12.0,No Semifinal,,,,,
1972,Luxembourg,lu,Vicky Leandros,Après toi,French,1,128,,,17.0,No Semifinal,,,,,
1972,Malta,mt,Helen and Joseph,L-imħabba,Maltese,18,48,,,9.0,No Semifinal,,,,,
1972,Monaco,mc,Anne-Marie Godart & Peter MacLane,Comme on s'aime,French,16,65,,,15.0,No Semifinal,,,,,
1972,Netherlands,nl,Sandra & Andres,Als het om de liefde gaat,Dutch,4,106,,,18.0,No Semifinal,,,,,
1972,Norway,no,Grethe Kausland & Benny Borg,Småting,Norwegian,14,73,,,6.0,No Semifinal,,,,,
1972,Portugal,pt,Carlos Mendes,A festa da vida,Portuguese,7,90,,,7.0,No Semifinal,,,,,
1972,Spain,es,Jaime Morey,Amanece,Spanish,10,83,,,4.0,No Semifinal,,,,,
